Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
,3415064.2810058594,,764.6,575.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,764.6 -> 575.6
,2971636.109649658,,766.7,577.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,766.7 -> 577.6
,2200356.674133301,,782.6,593.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,782.6 -> 593.6
,2000268.382446289,,784.6,595.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,784.6 -> 595.6
,1631317.3762817383,,786.6,569.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,786.6 -> 569.6
,2663326.687561035,,786.6,597.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,786.6 -> 597.6
,1443276.5233306885,,788.6,571.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,788.6 -> 571.6
,6346699.271728516,,788.6,599.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,788.6 -> 599.6
,2507888.217956543,,790.6,601.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,790.6 -> 601.6
,2271736.59967041,,790.7,573.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,790.7 -> 573.6
,3436924.9295654297,,792.6,603.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,792.6 -> 603.6
,1700177.641052246,,792.7,575.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,792.7 -> 575.6
,5100868.677978516,,794.6,605.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,794.6 -> 605.6
,2440198.1708068848,,794.7,577.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,794.7 -> 577.6
,2600641.984603882,,796.7,579.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,796.7 -> 579.6
,1401961.73928833,,812.7,595.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,812.7 -> 595.6
,1773192.584777832,,814.7,597.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,814.7 -> 597.6
,2806102.5625915527,,816.7,599.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,816.7 -> 599.6
,1493079.2249908447,,818.7,601.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,818.7 -> 601.6
,2558777.5592956543,,820.7,603.6,TailoredTAG18-1_O3on_CrudeCanola0.0005mgmL_020723,820.7 -> 603.6
