,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Lipid,Correct_RT,Biology,Genotype,Cage,Mouse
3269751,471.4,183.0,7.53575,158642.0,11192023_5xFAD-m1-cortex-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,471.4 -> 183.0,20:4,7.54,cortex,5xFAD,,m1
4497650,447.4,183.0,7.510916666666667,156910.0,11192023_5xFAD-m2-dienc-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,dienc,5xFAD,FAD257,m2
2470153,447.4,183.0,7.4851,153058.0,11162023_WT-m5-dienc-FAD259_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.49,dienc,WT,,m5
3641270,447.4,183.0,7.485083333333334,152234.0,11192023_5xFAD-m1-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.49,hippo,5xFAD,FAD231,m1
4152115,447.4,183.0,7.498,151931.0,11192023_5xFAD-m2-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.5,cortex,5xFAD,FAD231,m2
1722042,447.4,183.0,7.536783333333334,151471.0,11162023_WT-m4-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.54,cortex,WT,FAD263,m4
1466619,447.4,183.0,7.523866666666667,150313.0,11162023_WT-m3-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.52,hippo,WT,FAD263,m3
1350520,471.4,183.0,7.54865,147990.0,11162023_WT-m3-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,471.4 -> 183.0,20:4,7.55,dienc,WT,FAD263,m3
2668535,447.4,183.0,7.51095,147650.0,11162023_WT-m5-hippo-FAD259_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,hippo,WT,,m5
1338906,447.4,183.0,7.498,142891.0,11162023_WT-m3-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.5,dienc,WT,FAD263,m3
1213982,447.4,183.0,7.498016666666667,141058.0,11162023_WT-m3-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.5,cortex,WT,FAD263,m3
1849754,447.4,183.0,7.549683333333333,139579.0,11162023_WT-m4-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.55,dienc,WT,FAD263,m4
4033567,469.4,183.0,5.88215,136486.0,11192023_5xFAD-m2-cereb-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,cereb,5xFAD,FAD257,m2
3896694,447.4,183.0,7.510916666666667,135820.0,11192023_5xFAD-m2-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,cereb,5xFAD,FAD231,m2
554296,447.4,183.0,7.510933333333334,133767.0,11162023_WT-m1-hippo-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,hippo,WT,,m1
2166495,447.4,183.0,7.498,130717.0,11162023_WT-m5-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.5,cereb,WT,FAD263,m5
857020,447.4,183.0,7.549683333333333,118963.0,11162023_WT-m2-dienc-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.55,dienc,WT,,m2
976653,469.4,183.0,5.895066666666667,118702.0,11162023_WT-m2-hippo-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.9,hippo,WT,,m2
2272990,495.4,183.0,7.495733333333334,118561.0,11162023_WT-m5-cortex-FAD259_AMP_2x_0.05uMd216-0_MRMs_O3off_01,495.4 -> 183.0,22:6,7.5,cortex,WT,,m5
2183744,495.4,183.0,7.50865,118460.0,11162023_WT-m5-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,495.4 -> 183.0,22:6,7.51,cereb,WT,FAD263,m5
1977464,447.4,183.0,7.5367500000000005,111852.0,11162023_WT-m4-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.54,hippo,WT,FAD263,m4
329624,447.4,183.0,7.523866666666667,111163.0,11162023_WT-m1-cortex-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.52,cortex,WT,,m1
3522723,469.4,183.0,5.882133333333334,110534.0,11192023_5xFAD-m1-dienc-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,dienc,5xFAD,,m1
2369640,447.4,183.0,7.523866666666667,110230.0,11162023_WT-m5-cortex-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.52,cortex,WT,FAD263,m5
864597,469.4,183.0,5.907983333333334,109644.0,11162023_WT-m2-dienc-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.91,dienc,WT,,m2
442695,469.4,183.0,5.89505,108956.0,11162023_WT-m1-dienc-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.9,dienc,WT,,m1
2884168,469.4,183.0,5.88215,108535.0,11192023_5xFAD-m1-cereb-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,cereb,5xFAD,FAD231,m1
4506812,469.4,183.0,5.882133333333334,103601.0,11192023_5xFAD-m2-dienc-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,dienc,5xFAD,FAD257,m2
3650434,469.4,183.0,5.882133333333334,103405.0,11192023_5xFAD-m1-hippo-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,hippo,5xFAD,FAD231,m1
2764206,447.4,183.0,7.510933333333334,102517.0,11162023_WT-m5-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,hippo,WT,FAD263,m5
3014329,471.4,183.0,7.535766666666667,99693.0,11192023_5xFAD-m1-cereb-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,471.4 -> 183.0,20:4,7.54,cereb,5xFAD,,m1
2263201,471.4,183.0,7.535733333333334,94810.0,11162023_WT-m5-cortex-FAD259_AMP_2x_0.05uMd216-0_MRMs_O3off_01,471.4 -> 183.0,20:4,7.54,cortex,WT,,m5
435384,447.4,183.0,7.510916666666667,93450.0,11162023_WT-m1-dienc-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.51,dienc,WT,,m1
4161278,469.4,183.0,5.882116666666667,92771.0,11192023_5xFAD-m2-cortex-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,cortex,5xFAD,FAD231,m2
2097204,495.4,183.0,7.508666666666667,91695.0,11162023_WT-m5-cereb-FAD259_AMP_2x_0.05uMd216-0_MRMs_O3off_01,495.4 -> 183.0,22:6,7.51,cereb,WT,,m5
4379101,469.4,183.0,5.88215,90548.0,11192023_5xFAD-m2-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,dienc,5xFAD,FAD231,m2
2769809,469.4,183.0,5.895066666666667,89647.0,11162023_WT-m5-hippo-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.9,hippo,WT,FAD263,m5
968463,447.4,183.0,7.52385,84078.0,11162023_WT-m2-hippo-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.52,hippo,WT,,m2
2476314,469.4,183.0,6.1018,83860.0,11162023_WT-m5-dienc-FAD259_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,6.1,dienc,WT,,m5
2261441,469.4,183.0,5.88215,83308.0,11162023_WT-m5-cortex-FAD259_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,cortex,WT,,m5
1594333,447.4,183.0,7.562600000000001,81862.0,11162023_WT-m4-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.56,cereb,WT,FAD263,m4
563459,469.4,183.0,5.895066666666667,81363.0,11162023_WT-m1-hippo-FAD245_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.9,hippo,WT,,m1
1875297,495.4,183.0,7.560333333333333,75229.0,11162023_WT-m4-dienc-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,495.4 -> 183.0,22:6,7.56,dienc,WT,FAD263,m4
4762234,469.4,183.0,5.88215,74249.0,11192023_5xFAD-m2-hippo-FAD257_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,hippo,5xFAD,FAD257,m2
752039,447.4,183.0,7.52385,71507.0,11162023_WT-m2-cortex-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,447.4 -> 183.0,18:2,7.52,cortex,WT,,m2
3778145,469.4,183.0,5.88215,71187.0,11192023_5xFAD-m1-hippo-FAD249_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.88,hippo,5xFAD,,m1
1605947,471.4,183.0,7.613250000000001,70588.0,11162023_WT-m4-cereb-FAD263_AMP_2x_0.05uMd216-0_MRMs_O3off_01,471.4 -> 183.0,20:4,7.61,cereb,WT,FAD263,m4
3395011,469.4,183.0,5.869233333333334,68615.0,11192023_5xFAD-m1-dienc-FAD231_AMP_2x_0.05uMd216-0_MRMs_O3off_01,469.4 -> 183.0,20:5,5.87,dienc,5xFAD,FAD231,m1
84177,447.4,183.0,7.562616666666667,65282.0,11162023_Blank-AMP_2x_MRMs_O3off_01,447.4 -> 183.0,18:2,7.56,,,,
