Lipid,Class,DOD73-5xFAD-M2liver_x,FAD131-5xFAD-M1liver_x,FAD131-5xFAD-M2liver_x,FAD131-5xFAD-M4liver_x,FAD173-5xFAD-M1liver_x,DOD73-5xFAD-M2liver_y,FAD131-5xFAD-M1liver_y,FAD131-5xFAD-M2liver_y,FAD131-5xFAD-M4liver_y,FAD173-5xFAD-M1liver_y,blank_033123,Title1,Title2,Title,length1,length2,Blank_name
Lyso_PC(11:0),PC,21339.781448364258,20381.401458740234,17324.121215820312,19827.081329345703,25611.74185180664,21339.781448364258,20381.401458740234,17324.121215820312,19827.081329345703,25611.74185180664,19201.221221923828,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Lyso_PC(12:0),PC,23621.941802978516,23703.441772460938,17827.301208496094,21465.161651611328,20389.88153076172,23621.941802978516,23703.441772460938,17827.301208496094,21465.161651611328,20389.88153076172,21712.861572265625,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Lyso_PC(13:0),PC,20468.14141845703,18778.18132019043,19723.64129638672,18007.501266479492,19763.56137084961,20468.14141845703,18778.18132019043,19723.64129638672,18007.501266479492,19763.56137084961,18185.361267089844,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Lyso_PC(14:0),PC,131255.22900390625,140521.9296875,127343.42919921875,134088.44946289062,131161.4501953125,131255.22900390625,140521.9296875,127343.42919921875,134088.44946289062,131161.4501953125,132101.80834960938,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Lyso_PC(14:1),PC,139203.35034179688,129942.04858398438,128341.28979492188,125140.30810546875,133745.08935546875,139203.35034179688,129942.04858398438,128341.28979492188,125140.30810546875,133745.08935546875,128255.22998046875,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Lyso_PC(15:0),PC,19813.6014251709,19574.041427612305,18997.26124572754,18686.1612701416,20956.341522216797,19813.6014251709,19574.041427612305,18997.26124572754,18686.1612701416,20956.341522216797,19342.761352539062,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Lyso_PC(15:1),PC,20139.76153564453,19700.061401367188,20368.481353759766,21092.92152404785,20368.301559448242,20139.76153564453,19700.061401367188,20368.481353759766,21092.92152404785,20368.301559448242,20881.721405029297,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Lyso_PC(16:0),PC,26650.501983642578,26685.421646118164,29808.802124023438,20709.961517333984,23065.50161743164,26650.501983642578,26685.421646118164,29808.802124023438,20709.961517333984,23065.50161743164,21773.44158935547,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Lyso_PC(16:1),PC,25564.141967773438,29056.822174072266,27928.422103881836,21744.921478271484,23116.961486816406,25564.141967773438,29056.822174072266,27928.422103881836,21744.921478271484,23116.961486816406,21299.52133178711,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
Lyso_PC(17:0),PC,21431.72152709961,19055.2413482666,19460.221252441406,17664.22119140625,19691.641189575195,21431.72152709961,19055.2413482666,19460.221252441406,17664.22119140625,19691.641189575195,18767.161376953125,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
