,Unnamed: 0,Unnamed: 0.1,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,Unnamed: 0.1.1,n-7,n-9,n-10,n-12,db_pos
665,763,97056,,[TG(52:5)]_FA16:1,923.0,760.7,599.5,11.53,12012023_FAD131_M1_5xFAD_liver_O3on_01,760.7 -> 599.5,3820905,678.7,650.7,636.7,608.7,n-9
630,769,111131,,[TG(52:6)]_FA18:2,10903.0,786.7,597.5,11.53,12012023_FAD131_M1_5xFAD_liver_O3on_01,786.7 -> 597.5,3834980,704.7,676.7,662.7,634.7,n-7
633,772,111131,,[TG(54:6)]_FA18:1,10903.0,786.7,597.5,11.53,12012023_FAD131_M1_5xFAD_liver_O3on_01,786.7 -> 597.5,3834980,704.7,676.7,662.7,634.7,n-9
627,762,88048,,"[TG(55:11),TG(54:4)]_FA18:1",1433.0,736.7,547.5,11.54,12012023_FAD131_M1_5xFAD_liver_O3on_01,736.7 -> 547.5,3811897,654.7,626.7,612.7,584.7,n-7n-7
677,803,113383,,"[TG(55:11),TG(54:4)]_FA18:1",780.0,790.7,601.5,11.53,12012023_FAD131_M1_5xFAD_liver_O3on_01,790.7 -> 601.5,3837232,708.7,680.7,666.7,638.7,n-9
678,804,122391,,"[TG(56:11),TG(55:4)]_FA18:1",336.0,804.7,615.5,11.52,12012023_FAD131_M1_5xFAD_liver_O3on_01,804.7 -> 615.5,3846240,722.7,694.7,680.7,652.7,n-9
681,811,162926,,"[TG(42:2)]_FA18:1 | DG(44:9),DG(43:2)_C18:1",602.0,626.5,437.3,11.54,12012023_FAD131_M2_5xFAD_liver_O3on_01,626.5 -> 437.3,3886775,544.5,516.5,502.5,474.5,n-9
696,805,162357,,[TG(45:3)]_FA16:1,2283.0,624.5,505.4,11.28,12012023_FAD131_M2_5xFAD_liver_O3on_01,624.5 -> 505.4,3886206,542.5,514.5,500.5,472.5,n-12
708,831,166866,,[TG(45:3)]_FA16:1,1799.0,694.6,505.4,11.5,12012023_FAD131_M2_5xFAD_liver_O3on_01,694.6 -> 505.4,3890715,612.6,584.6,570.6,542.6,n-7
702,813,165742,,[TG(45:3)]_FA16:1,786.0,666.6,505.4,11.59,12012023_FAD131_M2_5xFAD_liver_O3on_01,666.6 -> 505.4,3889591,584.6,556.6,542.6,514.6,n-9
683,819,166303,,[TG(45:4)]_FA16:1,2089.0,692.6,503.4,11.5,12012023_FAD131_M2_5xFAD_liver_O3on_01,692.6 -> 503.4,3890152,610.6,582.6,568.6,540.6,n-7
775,837,169674,,[TG(52:5)]_FA16:1,7308.0,718.6,599.5,11.19,12012023_FAD131_M2_5xFAD_liver_O3on_01,718.6 -> 599.5,3893523,636.6,608.6,594.6,566.6,n-12
787,906,196143,,[TG(52:5)]_FA16:1,6400.0,788.7,599.5,11.53,12012023_FAD131_M2_5xFAD_liver_O3on_01,788.7 -> 599.5,3919992,706.7,678.7,664.7,636.7,n-7
781,872,181504,,[TG(52:5)]_FA16:1,1218.0,760.7,599.5,11.49,12012023_FAD131_M2_5xFAD_liver_O3on_01,760.7 -> 599.5,3905353,678.7,650.7,636.7,608.7,n-9
746,878,195580,,[TG(52:6)]_FA18:2,11915.0,786.7,597.5,11.53,12012023_FAD131_M2_5xFAD_liver_O3on_01,786.7 -> 597.5,3919429,704.7,676.7,662.7,634.7,n-7
724,851,180929,,[TG(52:6)]_FA18:2,483.0,758.7,571.5,10.96,12012023_FAD131_M2_5xFAD_liver_O3on_01,758.7 -> 571.5,3904778,676.7,648.7,634.7,606.7,n-9
717,844,173608,,[TG(54:6)]_FA18:1,517.0,744.6,571.5,10.87,12012023_FAD131_M2_5xFAD_liver_O3on_01,744.6 -> 571.5,3897457,662.6,634.6,620.6,592.6,n-12
749,881,195580,,[TG(54:6)]_FA18:1,11915.0,786.7,597.5,11.53,12012023_FAD131_M2_5xFAD_liver_O3on_01,786.7 -> 597.5,3919429,704.7,676.7,662.7,634.7,n-9
704,815,165742,,"[TG(55:11),TG(54:4)]_FA18:1",786.0,666.6,505.4,11.59,12012023_FAD131_M2_5xFAD_liver_O3on_01,666.6 -> 505.4,3889591,584.6,556.6,542.6,514.6,n-12n-7
714,843,172498,,"[TG(55:11),TG(54:4)]_FA18:1",2760.0,736.7,547.5,11.58,12012023_FAD131_M2_5xFAD_liver_O3on_01,736.7 -> 547.5,3896347,654.7,626.7,612.7,584.7,n-7n-7
793,912,197831,,"[TG(55:11),TG(54:4)]_FA18:1",744.0,790.7,601.5,11.48,12012023_FAD131_M2_5xFAD_liver_O3on_01,790.7 -> 601.5,3921680,708.7,680.7,666.7,638.7,n-9
680,810,162926,,"[TG(55:11),TG(54:4)]_FA18:1",602.0,626.5,437.3,11.54,12012023_FAD131_M2_5xFAD_liver_O3on_01,626.5 -> 437.3,3886775,544.5,516.5,502.5,474.5,n-9n-7n-7
701,812,164032,,"[TG(56:11),TG(55:4)]_FA18:1",375.0,652.5,505.4,10.66,12012023_FAD131_M2_5xFAD_liver_O3on_01,652.5 -> 505.4,3887881,570.5,542.5,528.5,500.5,n-12n-9
711,834,166866,,"[TG(56:11),TG(55:4)]_FA18:1",1799.0,694.6,505.4,11.5,12012023_FAD131_M2_5xFAD_liver_O3on_01,694.6 -> 505.4,3890715,612.6,584.6,570.6,542.6,n-9n-9
807,925,251315,,[TG(45:3)]_FA16:1,449.0,694.6,505.4,11.45,12012023_FAD131_M4_5xFAD_liver_O3on_01,694.6 -> 505.4,3975164,612.6,584.6,570.6,542.6,n-7
795,913,250753,,[TG(45:4)]_FA16:1,327.0,692.6,503.4,11.5,12012023_FAD131_M4_5xFAD_liver_O3on_01,692.6 -> 503.4,3974602,610.6,582.6,568.6,540.6,n-7
843,931,254124,,[TG(52:5)]_FA16:1,2274.0,718.6,599.5,11.19,12012023_FAD131_M4_5xFAD_liver_O3on_01,718.6 -> 599.5,3977973,636.6,608.6,594.6,566.6,n-12
855,971,281156,,[TG(52:5)]_FA16:1,2490.0,788.7,599.5,11.53,12012023_FAD131_M4_5xFAD_liver_O3on_01,788.7 -> 599.5,4005005,706.7,678.7,664.7,636.7,n-7
849,937,265948,,[TG(52:5)]_FA16:1,423.0,760.7,599.5,11.22,12012023_FAD131_M4_5xFAD_liver_O3on_01,760.7 -> 599.5,3989797,678.7,650.7,636.7,608.7,n-9
814,943,280029,,[TG(52:6)]_FA18:2,2715.0,786.7,597.5,11.48,12012023_FAD131_M4_5xFAD_liver_O3on_01,786.7 -> 597.5,4003878,704.7,676.7,662.7,634.7,n-7
817,946,280029,,[TG(54:6)]_FA18:1,2715.0,786.7,597.5,11.48,12012023_FAD131_M4_5xFAD_liver_O3on_01,786.7 -> 597.5,4003878,704.7,676.7,662.7,634.7,n-9
810,928,251315,,"[TG(56:11),TG(55:4)]_FA18:1",449.0,694.6,505.4,11.45,12012023_FAD131_M4_5xFAD_liver_O3on_01,694.6 -> 505.4,3975164,612.6,584.6,570.6,542.6,n-9n-9
887,977,331255,,[TG(45:3)]_FA16:1,1241.0,624.5,505.4,11.23,12012023_FAD173_M1_5xFAD_liver_O3on_01,624.5 -> 505.4,4055104,542.5,514.5,500.5,472.5,n-12
892,1006,335765,,[TG(45:3)]_FA16:1,1246.0,694.6,505.4,11.5,12012023_FAD173_M1_5xFAD_liver_O3on_01,694.6 -> 505.4,4059614,612.6,584.6,570.6,542.6,n-7
874,994,335202,,[TG(45:4)]_FA16:1,1025.0,692.6,503.4,11.5,12012023_FAD173_M1_5xFAD_liver_O3on_01,692.6 -> 503.4,4059051,610.6,582.6,568.6,540.6,n-7
862,982,334077,,[TG(45:4)]_FA16:1,320.0,664.6,503.4,11.54,12012023_FAD173_M1_5xFAD_liver_O3on_01,664.6 -> 503.4,4057926,582.6,554.6,540.6,512.6,n-9
930,1012,338573,,[TG(52:5)]_FA16:1,6367.0,718.6,599.5,11.19,12012023_FAD173_M1_5xFAD_liver_O3on_01,718.6 -> 599.5,4062422,636.6,608.6,594.6,566.6,n-12
942,1053,365605,,[TG(52:5)]_FA16:1,4522.0,788.7,599.5,11.53,12012023_FAD173_M1_5xFAD_liver_O3on_01,788.7 -> 599.5,4089454,706.7,678.7,664.7,636.7,n-7
936,1019,350405,,[TG(52:5)]_FA16:1,441.0,760.7,599.5,11.58,12012023_FAD173_M1_5xFAD_liver_O3on_01,760.7 -> 599.5,4074254,678.7,650.7,636.7,608.7,n-9
901,1025,364478,,[TG(52:6)]_FA18:2,7542.0,786.7,597.5,11.48,12012023_FAD173_M1_5xFAD_liver_O3on_01,786.7 -> 597.5,4088327,704.7,676.7,662.7,634.7,n-7
904,1028,364478,,[TG(54:6)]_FA18:1,7542.0,786.7,597.5,11.48,12012023_FAD173_M1_5xFAD_liver_O3on_01,786.7 -> 597.5,4088327,704.7,676.7,662.7,634.7,n-9
898,1018,341397,,"[TG(55:11),TG(54:4)]_FA18:1",1463.0,736.7,547.5,11.58,12012023_FAD173_M1_5xFAD_liver_O3on_01,736.7 -> 547.5,4065246,654.7,626.7,612.7,584.7,n-7n-7
948,1059,366730,,"[TG(55:11),TG(54:4)]_FA18:1",742.0,790.7,601.5,11.48,12012023_FAD173_M1_5xFAD_liver_O3on_01,790.7 -> 601.5,4090579,708.7,680.7,666.7,638.7,n-9
895,1009,335765,,"[TG(56:11),TG(55:4)]_FA18:1",1246.0,694.6,505.4,11.5,12012023_FAD173_M1_5xFAD_liver_O3on_01,694.6 -> 505.4,4059614,612.6,584.6,570.6,542.6,n-9n-9
