lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,10xBlank_01202023
TAG(58:10)_FA 20:0,0.07901413175003165,5.313332436139118,0.02298388153974429,0.8794989955001885,0.9997100298088456,TAG,19398.96166229248,22119.68130493164,23189.641567230225,24108.721618652344,27222.742095947266,25711.401809692383,23881.081832885742,22531.821701049805,16585.48126220703,21278.34136199951
TAG(58:10)_FA 20:4,0.03400258968792615,5.956336226124822,0.004261933416330521,0.9479482913367617,0.9997100298088456,TAG,29658.76229095459,42596.16288757324,34487.16223144531,42846.422607421875,36991.282859802246,35930.16307067871,35634.66247558594,42180.52275085449,32737.96209716797,22864.701446533203
TAG(58:2)_FA 16:0,-0.06653271316975606,5.348681748972833,0.016357768298348674,0.8982300963407054,0.9997100298088456,TAG,20839.521453857426,22248.721603393555,26172.64193725586,23287.94164276123,21366.48149871826,25689.12174987793,29743.46209716797,21724.98169708252,19266.42126464844,20092.02130126953
TAG(58:2)_FA 16:1,-9.100395624111061e-4,5.4765864530828114,3.055535444218549e-6,0.9986052913215523,0.9997100298088456,TAG,20286.16160583496,21383.76154327393,32458.202606201172,31755.922645568848,24473.62180328369,23759.601669311523,33006.102478027344,29892.1823387146,18804.36117553711,17906.241302490234
TAG(58:2)_FA 18:0,-0.2328748964183194,5.95195973053042,0.2010691880293507,0.653859208878109,0.9997100298088456,TAG,24437.72158813477,26851.20191192627,34971.20274353027,38869.74331665039,34904.12208557129,32864.602294921875,59222.40362548828,36279.80258178711,21938.881759643555,40114.6630859375
TAG(58:2)_FA 18:1,0.09439467360704938,5.951837588053703,0.03278974540251056,0.856305261735911,0.9997100298088456,TAG,26136.482009887695,29724.06214904785,43802.04260253906,47814.90342712402,40468.50254058838,32299.682388305664,45958.90327453613,38872.22265625,24116.46171569824,24592.201873779297
TAG(58:2)_FA 18:2,0.22568276065203338,7.56676510419158,0.18665839590426003,0.665712480769511,0.9997100298088456,TAG,104127.58889770508,88175.6284790039,132202.00979614258,131999.79000854492,125871.82704162598,91168.32626342772,105058.16790771484,105777.7862548828,101502.10615539552,88038.02629089355
TAG(58:2)_FA 20:0,0.0913609708271041,5.522114866522254,0.03071781521447292,0.8608714232415055,0.9997100298088456,TAG,21993.341674804688,27152.902305603027,28888.281616210938,37454.44249725342,25314.62184906006,26816.42155456543,26717.301872253414,30441.561729431152,22400.52138519287,16193.260990142822
TAG(58:2)_FA 20:4,0.03882512072159869,6.353503773108379,0.005555964913583011,0.9405820309114005,0.9997100298088456,TAG,44092.26300048828,46896.06365966797,48846.283447265625,53676.104064941406,42501.86294555664,48604.24319458008,51454.18342590332,43820.46282958984,41591.9631652832,41615.88311767578
TAG(58:3)_FA 16:0,0.1524906192369484,5.688294123014555,0.08541779692268392,0.7700853685377577,0.9997100298088456,TAG,35685.0821685791,26271.462188720703,29069.1817779541,25904.721656799316,27450.342109680176,29685.962127685547,30701.581985473633,23325.30167388916,22987.861618041992,36640.90299987793
