lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
[TG(51:7)|TG(50:0)]_FA14:0,0.14661288994030042,5.648843590561582,0.1081525303188755,0.7422573369540807,0.9999514498362397,TAG,121114.14807128906,115137.54821777344,90836.16613769533,78376.42517089844,127934.08856201172,72492.10528564453
[TG(51:7)|TG(50:0)]_FA16:1,0.4141133037998771,7.584273386955073,0.8711158518635784,0.3506465788330569,0.9999514498362397,TAG,628023.3363037109,471666.4328613281,312600.58459472656,431071.0891113281,394098.5900878906,147937.61083984375
[TG(51:7)|TG(50:0)]_FA18:2,7.136075629512452e-4,4.810027413573906,2.5458825803070795e-6,0.9987269101314794,0.9999514498362397,TAG,61376.76446533203,72086.12478637695,53586.86352539063,61856.14486694336,66835.04452514648,28970.341918945312
[TG(51:7)|TG(50:0)]_FA18:3,-0.06145475599627911,5.127275983760675,0.018826176463335287,0.8908659809326537,0.9999514498362397,TAG,83528.00535583496,81637.46621704102,76427.9055480957,79720.34573364258,80246.44497680664,30108.90219116211
[TG(51:7)|TG(50:0)]_FA20:4,0.05558969078731283,6.342725120790833,0.015488905613892712,0.9009554778935982,0.9999514498362397,TAG,234722.012298584,193214.47256469727,173108.8353881836,211999.03497314453,179819.75146484375,31536.38229370117
[TG(51:7)|TG(50:0)]_FA22:6,0.40921423658742123,6.809871982999378,0.8504818674293801,0.35641605555707434,0.9999514498362397,TAG,237853.357421875,268371.21923828125,208468.45413208008,143153.95092773438,171276.2124633789,260213.9180297852
[TG(51:8)|TG(50:1)]_FA14:0,0.5680587735201479,5.841882327047196,1.64596253210766,0.19950934407862003,0.9999514498362397,TAG,93115.9868774414,262063.98168945312,82985.7055053711,87048.52600097656,154044.69140625,50990.10345458984
[TG(51:8)|TG(50:1)]_FA18:3,-0.0019835946764604957,4.950364005473388,1.9668605091283098e-5,0.9964614493357586,0.9999514498362397,TAG,73040.50549316406,70416.18508911133,63625.42419433594,63072.684478759766,71063.9447631836,35584.8625793457
[TG(51:8)|TG(50:1)]_FA20:4,-0.12129683151161456,5.115085281126151,0.07312398496469541,0.7868414100701927,0.9999514498362397,TAG,81260.32470703125,75692.8251953125,72747.04479980469,88206.08602905273,72130.52502441406,33543.02224731445
[TG(51:9)|TG(50:2)]_FA20:4,0.08005845279367943,5.045779063975542,0.03215733459524017,0.8576827828131058,0.9999514498362397,TAG,86761.72576904297,73818.885498046875,69454.56484985352,64836.864501953125,75887.905029296875,34312.14239501953
