Lipid,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum
Cer(d18:1/18:0),53637.62353515625,144486.28896331787,67352.74472045898,74389.04536819458,67009.44515991211,59689.544372558594,127770.76694488524,56037.683586120605
Cer(d18:1/18:1(9Z)),97083.00659942628,213917.95608520508,118233.36837768556,153521.65101623535,115906.10749816896,115773.1886062622,218115.5729675293,102569.3660812378
Cer(d18:1/20:0),47143.0432434082,72375.66548156738,66875.38436889648,57531.80383682251,51913.56398010254,52026.52410507202,65261.56423187256,50047.483432769775
Cer(d18:1/22:0),1678337.54813385,350475.44132995605,412625.9516067505,118941.70894622804,150862.49167633057,870953.7059364319,265908.45905303955,623142.6586608887
Cer(d18:1/24:0),428490.782875061,765089.0247497559,446831.3067474365,596964.2315216064,549719.4162902832,546581.3861999512,639760.0538253784,549333.956161499
Cer(d18:1/24:1(15Z)),406907.6530456543,840892.3873825073,441163.0270233154,583545.0425071716,539496.9074020386,543773.7197113037,696657.3953399658,532321.742401123
Cer(d18:1/26:0),334814.76000213623,450144.2345466614,477574.994644165,479420.3740310669,451609.0141143799,469870.4802474976,454248.0467453003,436605.1278076172
Cer(d18:1/26:1(17Z)),336197.65982055664,470590.5140762329,491600.7756042481,497379.10495758057,458308.8632850647,478652.75298309326,473673.8986740112,448157.33266448975
Cer(d18:1/2:0),46205.843101501465,52270.66377258301,53214.12380981445,56135.74417877197,53413.824211120605,57226.82417297363,57312.42374420166,65079.1443939209
Cer(d18:2/14:0),3884935.4225616455,161394.81140899658,1033011.22555542,216766.83670806885,195495.1930770874,2201829.37607956,159849.03102111816,1778216.844497681
Cer(d18:2/16:0),104909.22849273682,60100.6841506958,69706.8044013977,62374.644313812256,54400.30355453491,93261.62633132936,60513.88410186768,78506.70527648926
Cer(d18:2/18:1),235552.5771484375,197339.59350585935,219399.75579833984,245342.51806640625,208629.7147216797,223599.65673828125,214150.07403564453,238759.0759277344
Cer(d18:2/20:0),270547.7388916016,219836.13623046875,237123.85778808597,256641.69787597656,242596.6173095703,256444.37756347656,228657.23559570312,255671.3771972656
Cer(d18:2/20:1),269467.8194580078,232984.7967529297,255429.55834960935,280376.8806152344,264228.3389892578,261593.05786132807,244983.9771728516,274589.8798828125
Cer(d18:2/22:0),36221751.033203125,3476697.2163085938,7534093.382080078,1342229.7197265625,1960887.0690917969,18541628.177490234,3105733.204589844,12921832.19946289
Cer(d20:0/26:0(2OH)),240957.29696655276,339605.4455566406,337163.14764404297,360355.82501220703,330102.0902404785,325789.00036621094,335515.92514038086,312534.9390106201
Cer(d20:0/26:0),244875.1163330078,318238.9451751709,332974.6040496826,349255.98976135254,330922.4479827881,333146.2847595215,329067.0236816406,321036.70486450195
Cer(t18:0/16:0(2OH)),481859.3317108154,582969.4399108887,640537.6826019287,647520.004234314,495813.1138458252,606446.1223602295,571067.5781402588,582200.8833999634
Cer(t18:0/18:0(2OH)),90274.3465270996,103398.78643798828,163216.37335968018,148072.7088470459,126346.40880584715,115771.9681854248,127249.98889160156,120445.3277053833
