Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon
TAG(50:3)_FA 18:2,450254.7309570313,454815.4174804688,560690.8959960938,458856.15478515625,561731.1005859375,557134.0444335938
TAG(50:4)_FA 16:0,52054.98355102539,50314.50337219238,44000.32357788086,42724.3030090332,41726.26295471192,37068.84248352051
TAG(50:4)_FA 16:1,232499.63525390625,211941.8115234375,210409.63513183597,188531.53515625,211088.55346679688,174064.4697265625
TAG(50:4)_FA 18:0,25230.501808166504,21682.081352233887,18672.801414489742,31428.142547607426,28524.621688842773,24304.961784362797
TAG(50:4)_FA 18:1,104131.34753417967,100678.22692871094,92203.4464111328,101097.38647460938,112325.76708984376,83190.205078125
TAG(50:4)_FA 18:2,233013.83715820312,243563.25439453125,297334.8020019531,218886.53393554688,310807.4416503906,270245.1162109375
TAG(52:0)_FA 16:0,162435.85131835938,150771.4716796875,137626.33056640625,173022.0927734375,163229.79077148438,134015.14916992188
TAG(52:0)_FA 16:1,40367.72283935547,35484.1423034668,32393.222076416016,45290.702880859375,36356.74258422852,33823.522369384766
TAG(52:0)_FA 18:0,303540.36376953125,309747.76220703125,254092.8767089844,338223.84326171875,326238.69873046875,272269.0009765625
TAG(52:0)_FA 18:1,57027.123596191406,52609.0439453125,48544.50323486328,63618.82482910156,55072.04364013672,53720.583740234375
TAG(52:0)_FA 18:2,24180.101852416992,24180.841796875,19842.04130935669,26572.082061767574,23021.781784057617,22269.041397094727
TAG(52:0)_FA 20:0,64575.84460449219,68470.86413574219,59571.14385986328,66726.0648803711,76378.20532226562,62965.42388916016
TAG(52:0)_FA 20:4,24306.56169128418,23415.32172393799,20414.041358947758,25200.381622314453,21823.901580810547,21055.44135284424
TAG(52:1)_FA 16:0,102435.80694580078,134089.50958251953,83501.26718139648,130377.34942626952,133374.7294921875,97926.98846435548
TAG(52:1)_FA 16:1,160659.2509765625,164090.830078125,141842.8896484375,173711.45263671875,164710.97216796875,139764.80981445312
TAG(52:1)_FA 18:0,371617.4493408203,409224.068359375,328490.44189453125,356997.3474121094,382122.6105957031,313462.13830566406
TAG(52:1)_FA 18:1,502725.4150390625,495660.3984375,446362.369140625,522287.7373046875,516145.1171875,474326.8979492188
TAG(52:1)_FA 18:2,57373.62420654297,55696.543884277344,51346.52334594727,60019.28436279297,57058.82440185547,53825.723876953125
TAG(52:1)_FA 20:4,20842.78150939941,21240.18145751953,16053.441108703611,18159.72132110596,18519.961307525635,19098.561294555664
TAG(52:1)_FA20:0,35117.96212768555,30912.14208984375,34797.58324432373,29617.02183532715,35381.90301513672,30456.022117614742
TAG(52:2)_FA 16:0,194669.0747680664,222004.6967163086,167121.7899169922,180536.01306152344,195569.5943603516,157368.05462646484
TAG(52:2)_FA 16:1,110627.90832519533,143800.49002075195,89178.6279296875,132362.609375,146566.5899658203,104716.44711303712
TAG(52:2)_FA 18:0,238114.9157714844,242398.29541015625,202942.4949951172,145610.94873046875,192718.65161132807,137424.68817138672
TAG(52:2)_FA 18:1,515875.8505859375,551404.4753417969,462213.8325195313,474953.4719238281,531462.0034179688,450488.654296875
TAG(52:2)_FA 18:2,463175.1123046875,494821.0107421875,502460.037109375,494694.59375,537311.8369140625,514907.4931640625
TAG(52:2)_FA 20:0,23986.08155822754,22673.321502685547,23945.661918640137,25315.8018951416,23217.981521606445,23015.20175933838
TAG(52:2)_FA 20:4,20826.301277160645,20994.901237487797,16833.88104248047,20870.10148620605,20118.621559143063,17986.761142730713
TAG(52:3)_FA 16:0,136149.0916442871,158734.94900512695,119826.8900604248,81137.08657836914,117460.42761230467,73559.0048828125
TAG(52:3)_FA 16:1,207012.0914916992,212509.6163330078,178054.3519897461,189613.61169433597,205122.3770751953,156137.05206298828
TAG(52:3)_FA 18:0,64383.78466796875,66030.34468078613,44083.22344970703,43404.88340759277,49286.703674316406,34767.42254638672
TAG(52:3)_FA 18:1,340237.1815185547,340975.9855957031,295828.3741455078,216080.33520507807,274629.8740234375,201120.51831054688
TAG(52:3)_FA 18:2,463658.12646484375,549364.9291992188,551067.3708496094,442561.6477050781,579090.8618164062,555692.2248535156
TAG(52:3)_FA 20:0,20016.7614364624,21367.86149597168,16866.66124343872,18799.76113128662,23693.06189346313,16657.62117767334
TAG(52:3)_FA 20:4,33981.50234985352,35947.202392578125,33176.78234863281,31880.502410888672,36556.3825378418,30256.06202697754
TAG(52:4)_FA 16:0,154610.09112548828,372259.60583496094,105254.90771484376,171673.5106201172,267051.59869384766,112134.64736938477
TAG(52:4)_FA 16:1,144676.74737548828,158859.2897644043,112912.7293395996,86246.24609375,118527.85012817384,73549.08444213867
TAG(52:4)_FA 18:0,21570.54124450684,21701.961791992188,17161.121044158936,23880.281883239742,20790.56143951416,17157.381450653076
TAG(52:4)_FA 18:1,80045.64541625977,85239.8060760498,68870.66383361816,48077.96380615234,60136.90399169922,43139.70358276367
TAG(52:4)_FA 18:2,338350.9655761719,387407.2844238281,379934.0241699219,243106.875,352115.9040527344,297493.640625
TAG(52:4)_FA 20:0,17079.301078796387,18459.041255950928,15051.241172790527,19865.761192321777,20490.42162322998,13716.640922546389
TAG(52:4)_FA 20:4,191065.8146972656,203057.5529785156,210335.7335205078,191446.53369140625,229040.07666015625,225718.1170654297
TAG(52:5)_FA 16:0,36094.14221191406,36038.02224731445,30242.18211364746,37445.32247924805,40065.90308380127,29792.762252807617
TAG(52:5)_FA 16:1,163186.45233154297,364108.8865966797,98760.10696411131,168407.47259521484,255512.95678710935,103344.8685913086
TAG(52:5)_FA 18:0,40038.80258178711,35707.562408447266,27482.682220458984,45798.72314453125,38322.82269287109,30890.001747131348
TAG(52:5)_FA 18:1,22576.701667785645,22394.0415725708,19637.76139831543,24817.341918945312,26244.70188903809,19660.901428222656
TAG(52:5)_FA 18:2,72303.20448303223,82176.2865600586,75760.80619812012,43724.02325439453,61324.5242767334,49358.36402893066
TAG(52:5)_FA 20:0,18692.18128967285,17575.321311950684,19280.581130981445,22882.681594848636,22581.60165405273,17759.261421203613
TAG(52:5)_FA 20:4,95356.52673339844,107495.28686523438,127165.62994384766,84652.14636230469,124888.10906982422,107774.9273071289
TAG(52:6)_FA 16:0,43516.603088378906,41530.44323730469,32264.122344970703,46478.34292602539,37943.16305541992,37537.32220458984
TAG(52:6)_FA 16:1,41933.32261657715,47199.38342285156,32359.042098999023,42799.38327026367,37518.22283935547,33649.88278198242
TAG(52:6)_FA 18:0,26390.221893310547,23777.1417388916,22091.42156982422,31629.162216186523,30014.902446746823,20737.38159942627
TAG(52:6)_FA 18:1,46376.64326477051,38806.42221069336,28871.74208068848,45444.50325012207,38090.28234100342,35200.88229370117
TAG(52:6)_FA 18:2,26381.22201538086,29948.522254943848,24445.42170715332,26767.12158203125,26042.66187286377,26034.681800842285
TAG(52:6)_FA 20:0,37315.20249938965,35074.903244018555,28687.22226333618,37217.66313171387,36498.26280212402,35194.84185028076
TAG(52:6)_FA 20:4,85382.36669921875,89610.56707763672,82304.00561523438,73442.56481933594,92815.52673339844,78846.86529541016
TAG(54:0)_FA 16:0,47970.90362548828,37950.02261352539,37203.942932128906,47182.86325073242,45397.5830078125,36242.74282836914
TAG(54:0)_FA 16:1,35742.26252746582,44467.64306640625,35204.72215270996,37333.76289367676,39341.54273986816,45764.14348602295
TAG(54:0)_FA 18:0,204297.39331054688,201362.25537109372,173917.9521484375,228012.0576171875,206593.97583007807,172017.01220703125
TAG(54:0)_FA 18:1,37138.98229980469,32506.04235839844,28760.20230102539,39585.12265014648,38064.02264404297,34009.64245605469
TAG(54:0)_FA 18:2,21678.82141113281,24878.38148498535,19296.581481933597,26333.041877746586,22339.40177154541,21842.581481933597
TAG(54:0)_FA 20:0,117324.98754882812,125680.96875,114368.14782714844,122563.38842773438,133096.02856445312,112293.7470703125
TAG(54:0)_FA 20:4,19081.34136581421,18334.8811416626,19014.061683654785,23813.901817321777,21579.10164642334,20411.62142944336
TAG(54:1)_FA 16:0,41190.10322570801,46939.66326904297,35817.48274230957,47536.32328796387,43687.80307006836,35393.42266845703
TAG(54:1)_FA 16:1,50139.02348327637,43731.46340942383,46806.343505859375,55263.96405029297,53630.90393066406,42678.8627319336
TAG(54:1)_FA 18:0,170222.4507446289,195996.75366210935,140117.3087158203,229364.75622558597,219146.75421142575,160954.97369384766
TAG(54:1)_FA 18:1,300287.38232421875,292870.47998046875,262790.71923828125,328351.1435546875,318306.501953125,262916.05810546875
TAG(54:1)_FA 18:2,43373.563049316406,43108.483306884766,36120.26248168945,49482.46374511719,48784.78363037109,43285.66275024414
TAG(54:1)_FA 20:0,86845.72680664062,85074.12573242188,87824.32656860352,87991.92767333984,102028.20837402344,101427.38659667967
TAG(54:1)_FA 20:4,17312.901275634766,20795.921493530277,15448.301265716553,20585.221755981445,20674.421447753903,15131.62121963501
TAG(54:2)_FA 16:0,51706.74345397949,65084.26530456543,37971.86280822754,53664.74423217773,50842.36318969727,36130.24221801758
TAG(54:2)_FA 16:1,43742.24298095703,46424.50323486328,34383.742736816406,47469.56343078613,44517.42332458496,37452.02291870117
TAG(54:2)_FA 18:0,410715.10546875,489722.3540039063,340573.84533691406,408234.5151367188,489148.8835449219,355042.7403564453
TAG(54:2)_FA 18:1,186973.2344360352,219415.8370361328,163319.4315185547,244205.14025878903,243625.89532470703,195971.09503173828
TAG(54:2)_FA 18:2,284694.71875,286748.8984375,271099.37841796875,299355.80126953125,306448.47998046875,287006.0209960937
TAG(54:2)_FA 20:0,44169.92321777344,41307.1231842041,45297.08290100098,37984.46302032471,45276.52388000488,37614.28297424317
TAG(54:2)_FA 20:4,23824.24169921875,27326.92176818848,22958.50160980225,22949.381408691406,26484.421882629395,21800.341232299805
TAG(54:3)_FA 16:0,97318.54711914062,251093.2389831543,61687.82466125488,125789.40850830078,158580.41177368164,66158.60418701172
TAG(54:3)_FA 16:1,52444.24382019043,64482.68537902832,34534.06245422363,50924.08380126953,51236.52392578125,38973.00268554688
TAG(54:3)_FA 18:0,273009.2342529297,338113.3245239258,221601.5968017578,161349.58978271484,239255.7354736328,153827.60815429688
TAG(54:3)_FA 18:1,467360.7895507813,524169.4227294922,391466.4060058594,444482.4504394531,508884.982421875,411819.44494628906
TAG(54:3)_FA 18:2,151065.83056640625,208087.2138671875,171073.4930419922,184248.71160888672,242087.64013671875,219830.8555908203
TAG(54:3)_FA 20:0,21212.921501159668,21891.1815032959,20704.82135772705,22961.461502075195,20854.30142974853,20277.20164489746
TAG(54:3)_FA 20:4,71222.68518066406,85429.92663574219,71262.28381347656,85818.64611816406,78960.72521972656,75134.22485351562
TAG(54:4)_FA 16:0,752926.9150390625,2426072.8455810547,387466.1301269531,1030106.4506835938,1488502.7575683594,465915.158203125
TAG(54:4)_FA 16:1,102899.6869506836,241566.7357788086,60785.54428100586,121667.80874633788,156317.09382629397,67662.7646484375
TAG(54:4)_FA 18:0,202989.85522460935,356178.02362060547,155722.69012451172,179407.6912841797,270294.05822753906,136804.6485595703
TAG(54:4)_FA 18:1,328562.2840576172,372916.3830566406,270512.3541870117,171347.67205810547,266770.4013671875,177908.75256347656
TAG(54:4)_FA 18:2,362616.9887695313,477306.7934570313,426337.36853027344,340254.4858398437,527667.5017089844,489786.4769287109
TAG(54:4)_FA 20:0,18216.421340942383,16934.001174926758,14929.520942687988,22999.30167388916,21389.14141082764,21986.90129470825
TAG(54:4)_FA 20:4,215972.33544921875,223070.09692382807,221672.15698242188,228693.7951660156,255838.7177734375,249393.2958984375
TAG(54:5)_FA 16:0,173815.75366210938,505118.9419555664,112897.94790649414,173744.89169311523,277461.97912597656,93828.00662231444
TAG(54:5)_FA 16:1,738291.4484863281,2390938.000610352,361552.12927246094,1005568.4512939452,1487202.3276367188,433014.4948730469
TAG(54:5)_FA 18:0,46132.16293334961,41715.44291687012,31542.36214447021,44715.02333068848,44978.28329467773,32518.062271118164
TAG(54:5)_FA 18:1,215725.63568115237,392650.10803222656,185094.7739868164,185210.67333984372,272500.3780517578,146860.73150634766
TAG(54:5)_FA 18:2,234887.41400146484,345197.802734375,282089.9779663086,138571.22912597656,265616.5163574219,214436.5971069336
TAG(54:5)_FA 20:0,28018.88186645508,29478.02174377441,19604.981468200684,30157.32201385498,28160.702278137207,22704.721405029297
TAG(54:5)_FA 20:4,250644.51513671875,318093.1640625,318614.9033203125,248736.19555664065,335250.7625732422,326783.1494140625
TAG(54:6)_FA 16:0,85247.54592895508,169770.67163085938,63587.00506591797,75141.10485839844,93177.56634521484,54437.22393798828
TAG(54:6)_FA 16:1,173473.73052978516,503260.65924072266,100323.22732543944,172244.0509033203,268499.6798095703,91982.02639770508
TAG(54:6)_FA 18:0,40805.38287353516,39184.74279785156,34072.2423248291,46431.52323913574,38011.782318115234,34547.12258911133
TAG(54:6)_FA 18:1,43836.12274169922,40131.54263305664,36672.00230407715,46080.48336791992,43395.7427520752,32841.08256530762
TAG(54:6)_FA 18:2,157997.5714111328,328983.82208251953,182370.7149658203,132460.84967041016,245691.497253418,144426.1883544922
TAG(54:6)_FA 20:0,18354.06145477295,16228.481178283691,14856.20095062256,19900.32151031494,20324.901237487797,14776.041069030762
TAG(54:6)_FA 20:4,170354.89080810547,189934.15380859372,212539.8737182617,109282.06842041016,159900.12854003906,140933.0708618164
TAG(54:7)_FA 16:0,68150.86328125,78003.90600585938,58284.405376434326,73247.30471801758,76136.30529785156,50684.02429199219
TAG(54:7)_FA 16:1,85146.00634765625,167617.61224365234,59389.68383789063,78453.8857421875,96594.82635498048,52930.203552246094
TAG(54:7)_FA 18:0,35523.442443847656,33919.84242248535,34953.1423034668,44955.58312988281,39056.62286376953,35062.182525634766
TAG(54:7)_FA 18:1,38540.70278930664,35646.08233642578,34085.28259277344,44394.98287963867,39489.16262817383,36723.06283569336
TAG(54:7)_FA 18:2,41618.34295654297,47973.323150634766,36404.42205810547,43184.20315551758,41827.22294616699,36702.30303955078
TAG(54:7)_FA 20:0,24500.74153137207,29270.621994018555,28044.68203735352,29313.701835632324,33454.3424987793,29013.0224609375
TAG(54:7)_FA 20:4,48213.86396789551,52386.08295440674,49383.62363433838,30152.94207763672,38829.14245605469,35487.122146606445
TAG(54:8)_FA 16:0,50907.384216308594,42555.5431060791,41117.70330810547,50374.8642578125,49639.82327270508,41442.523040771484
TAG(54:8)_FA 16:1,77990.0458984375,86560.26544189453,66962.38401794434,74272.76622009277,81828.40525817871,60604.5830078125
TAG(54:8)_FA 18:0,54149.08407592773,55738.62454223633,51473.22302246094,59957.704162597656,66302.12475585938,53151.083068847656
TAG(54:8)_FA 18:1,53109.44354248047,44851.32290649414,54349.32443237305,59604.92468261719,55962.144958496094,52826.48400878906
TAG(54:8)_FA 18:2,44008.7233581543,45491.62258911133,37979.72247314453,45772.34332275391,48663.78369140625,45123.3830871582
TAG(54:8)_FA 20:0,32848.62226867676,32055.022338867188,28483.501983642574,31961.802139282227,33197.92199707031,31639.981994628903
TAG(54:8)_FA 20:4,21954.101776123047,24247.62181854248,19729.50154113769,25134.741508483887,20061.861431121823,23781.861671447758
TAG(56:0)_FA 16:0,87123.10568237305,87407.56600952148,101787.66709899902,77488.74478149414,87822.30694580078,88302.88610839844
TAG(56:0)_FA 16:1,28831.102325439453,31752.26205444336,25593.26173400879,34232.3625793457,41159.5231628418,27983.601974487305
TAG(56:0)_FA 18:0,43075.94273376465,38486.24249267578,36492.32238769531,46804.883361816406,42826.10269165039,35896.80288696289
TAG(56:0)_FA 18:1,37731.74282836914,52191.043395996094,33125.52222442627,45806.50340270996,46209.00410461426,48441.04319763184
TAG(56:0)_FA 18:2,41023.14303588867,40264.96331787109,31257.562271118164,43243.64303588867,43600.883697509766,30797.642181396484
TAG(56:0)_FA 20:0,126400.20922851562,131230.75024414062,123876.30810546876,129841.40893554688,136071.82958984375,128757.64990234376
TAG(56:0)_FA 20:4,19542.50146484375,21767.82148742676,20306.58154296875,22497.541694641117,22085.681495666504,20884.561637878414
TAG(56:1)_FA 16:0,29099.44206237793,27709.621948242188,28368.04234313965,34379.742431640625,31471.922332763672,29470.48232269287
TAG(56:1)_FA 16:1,91794.7063293457,89541.08508300781,102900.5069580078,76298.82559204102,80665.54629516602,81508.84632873535
TAG(56:1)_FA 18:0,33996.42219543457,36260.08262634277,29969.3621673584,41342.52276611328,33900.06221008301,31236.601928710938
TAG(56:1)_FA 18:1,39062.34228515625,39133.02275085449,39367.00308227539,44228.6432800293,45531.9831237793,40868.72261047363
TAG(56:1)_FA 18:2,43748.44345092773,49194.1435546875,36763.041664123535,44448.86279296875,46653.04292297363,48188.20363616943
TAG(56:1)_FA 20:0,64695.24530029297,69733.5244140625,59051.583404541016,76379.42572021484,84049.88464355469,71414.88552856445
TAG(56:1)_FA 20:4,29421.94201660156,26536.54219055176,21710.981552124023,28416.202003479004,27232.70221710205,27861.901962280277
TAG(56:2)_FA 16:0,30085.86195373535,34225.66229248047,27711.26205444336,35064.98237609863,39751.50277709961,39947.90258789063
TAG(56:2)_FA 16:1,33518.60232543945,30161.16192626953,28116.80212402344,37455.302658081055,31768.462158203125,29556.541946411133
TAG(56:2)_FA 18:0,42583.26321411133,44730.78332519531,34413.9227142334,48079.763999938965,44903.66287231445,35601.9421081543
TAG(56:2)_FA 18:1,31322.502471923828,35653.58255004883,32373.12236022949,32150.142288208008,38462.74258422852,36695.44231414795
TAG(56:2)_FA 18:2,38017.04254150391,42349.48289489746,42597.22291564941,44960.30282592773,46840.04281616211,41892.78288269043
TAG(56:2)_FA 20:0,127904.8881225586,176732.93237304688,120274.62963867188,144416.84857177734,194161.8733520508,122561.41076660156
TAG(56:2)_FA 20:4,18510.16128540039,18082.881317138672,14333.420860290527,19926.20166015625,20412.481651306152,16552.96113204956
TAG(56:3)_FA 16:0,37540.88243103027,35059.482330322266,26445.00170898437,39461.46267700195,35007.98254394531,29433.721961975098
TAG(56:3)_FA 16:1,32364.18228912353,33711.28202819824,29540.58179473877,39629.48271179199,37975.882400512695,37081.24242401123
TAG(56:3)_FA 18:0,85342.54643249512,177172.9132080078,53507.483810424805,100920.08851623537,120233.1886291504,55197.8239440918
TAG(56:3)_FA 18:1,48011.78326416016,55908.443618774414,45801.18280029297,50534.90301513672,57766.20456695557,47820.46293640137
TAG(56:3)_FA 18:2,37304.16255187988,46545.643127441406,35973.92251586914,42468.40309143066,47458.72378540039,43599.26298522949
TAG(56:3)_FA 20:0,64340.3450012207,85376.12501525879,60991.7840423584,48520.34344482422,75336.66607666016,61334.92431640625
TAG(56:3)_FA 20:4,33065.04243469238,30687.362091064453,29261.54200744629,32547.002319335938,36918.28268432617,31307.302169799805
TAG(56:4)_FA 16:0,36549.642822265625,52126.82421875,28226.70217895508,43439.68315124512,41817.64331054688,29451.30207824707
TAG(56:4)_FA 16:1,37735.5627746582,31386.002227783203,27414.761825561523,39254.42260742188,36089.582458496094,27011.921615600582
TAG(56:4)_FA 18:0,511196.1209716797,1617349.7708129885,274096.0598144531,672475.8283691406,987543.2452392578,326915.8606567383
TAG(56:4)_FA 18:1,60120.724197387695,155982.5909423828,52482.34341430664,67923.68496704102,110915.90711975098,56474.26387023926
TAG(56:4)_FA 18:2,47255.70358276367,58572.1436920166,42909.84296417236,50849.58337402344,54906.42416381836,50100.96420288086
TAG(56:4)_FA 20:0,57699.624420166016,74579.42498779297,62832.825592041016,54906.583892822266,63976.624755859375,61312.22514343262
TAG(56:4)_FA 20:4,170438.07299804688,178067.09301757812,157400.23046875,184488.55322265625,186812.39428710935,167674.7724609375
TAG(56:5)_FA 16:0,48999.52418518066,77196.36541748047,35995.32286834717,54080.364166259766,52907.583740234375,42750.00321960449
TAG(56:5)_FA 16:1,39454.46292114258,48895.68328857422,25602.121658325195,44240.12316894531,42458.602935791016,30353.90234375
TAG(56:5)_FA 18:0,135822.34950256348,359065.8847351074,85247.32614135742,138153.56983947754,197627.5936279297,72809.76513671875
TAG(56:5)_FA 18:1,289935.9411010742,1367833.9744873047,258346.2583618164,406935.60693359375,784220.5145263672,292534.84063720703
TAG(56:5)_FA 18:2,60379.24398803711,146858.39013671875,56119.704330444336,72284.46508789062,100539.78680419922,60720.723571777344
TAG(56:5)_FA 20:0,23710.861824035645,27418.521697998047,22192.081329345703,25055.60171508789,26524.66199493408,23604.64121246338
TAG(56:5)_FA 20:4,115265.77069091795,149847.11071777344,128478.34967041016,144534.15130615234,168841.5938720703,159292.99298095703
TAG(56:6)_FA 16:0,119164.64755249023,286526.9176635742,76287.16485595703,110611.92810058594,140972.17041015625,68272.30453491211
TAG(56:6)_FA 16:1,47657.80310058594,79589.92568969727,37015.90283203125,52919.24360656738,56813.204498291016,43470.92332458496
TAG(56:6)_FA 18:0,87306.345703125,148610.13177490234,61167.70391845703,81530.04541015625,92425.3272705078,56233.52410888672
TAG(56:6)_FA 18:1,88279.98635864258,310115.06271362305,88682.80685424805,90539.32751464844,168416.44915771484,71578.84506225586
TAG(56:6)_FA 18:2,296628.68322753906,1348745.4502563477,250042.8194580078,410559.72479248047,801851.2370605469,286374.0994873047
TAG(56:6)_FA 20:0,19646.34132385254,23373.34161376953,18601.681243896484,23503.68162536621,23877.241592407227,23643.1817779541
TAG(56:6)_FA 20:4,271041.08056640625,365571.0897216797,319759.2569580078,262920.0388183594,403060.8518066406,368880.70080566406
TAG(56:7)_FA 16:0,60534.9641418457,87891.54656982422,50149.60330200195,59199.44389343262,64660.7449798584,43177.36318969727
TAG(56:7)_FA 16:1,119519.28717041016,298004.9819030762,74145.56530761719,119916.1492919922,141362.48956298828,70167.58526611328
TAG(56:7)_FA 18:0,63478.0436706543,69587.22430419922,51446.80270385742,70818.0849609375,74907.92553710938,50543.3837890625
TAG(56:7)_FA 18:1,63986.12469482422,130176.67059326172,64295.86456298828,63920.04382324219,79847.78564453125,56630.50360107422
TAG(56:7)_FA 18:2,90976.38540649414,306397.90298461914,86646.7262878418,90014.40594482422,170557.35470581055,69071.32507324219
TAG(56:7)_FA 20:0,25796.021701812744,24639.40187072754,22567.961517333984,26594.00163269043,27133.48240661621,27755.22204589844
TAG(56:7)_FA 20:4,168111.91403198242,239851.51321411133,203970.45672607425,101563.44610595705,189514.59375,155066.6280517578
TAG(56:8)_FA 16:0,50460.34295654297,47887.40393066406,43653.44287109375,50792.46331787109,55013.84371948242,39162.102600097656
TAG(56:8)_FA 16:1,58737.44357299805,81709.58609008789,50772.16368103027,60129.36532592773,67203.56469726562,45920.54356384277
TAG(56:8)_FA 18:0,40106.32267761231,36361.762268066406,36549.66233825684,39918.84222412109,39540.28289794922,33651.50276184082
TAG(56:8)_FA 18:1,62928.02439880371,71053.1242980957,56850.38484191895,65768.28504943848,77104.46473693848,53534.00454711914
TAG(56:8)_FA 18:2,67102.20440673828,132445.94952392578,63566.86395263672,67785.4049987793,82149.2466430664,57806.06414794922
TAG(56:8)_FA 20:0,28993.181930541992,30963.042221069336,26796.362098693848,36259.72265625,30236.38214111328,27303.461532592773
TAG(56:8)_FA 20:4,107498.0687866211,140425.19064331055,134440.11279296875,90945.5471496582,123150.81115722656,115198.42953491212
TAG(58:0)_FA 16:0,35859.22296142578,33464.581970214844,35119.78260803223,43534.00296020508,48795.28335571289,41256.74362182617
TAG(58:0)_FA 16:1,78914.44436645508,62190.484786987305,51069.64334106445,85818.46765136719,60750.90380859375,59634.92427062988
TAG(58:0)_FA 18:0,96304.06689453124,93237.3878173828,103153.18757629396,76680.0454711914,82134.18569946289,88809.46572875977
TAG(58:0)_FA 18:1,27428.66195678711,29639.80210876465,24593.48151397705,31817.262466430664,33426.322509765625,27127.801795959476
TAG(58:0)_FA 18:2,19849.38144683838,20811.401573181152,17962.44123840332,22354.32179260254,21141.78130340576,18415.901321411133
TAG(58:0)_FA 20:0,25965.62191772461,26248.46188354492,22054.501472473145,28369.94186782837,29709.901947021484,23741.22168731689
TAG(58:0)_FA 20:4,27926.00170135498,29259.14207458496,25157.561595916748,42596.36262512207,51332.30302429199,27682.60223007202
TAG(58:1)_FA 16:0,23699.02171325684,24341.94180297852,21314.541473388672,25182.541763305664,25248.50154113769,22870.58162689209
TAG(58:1)_FA 16:1,35512.68212890625,37086.843170166016,38209.52275085449,39715.58262634277,48412.34292602539,41818.00280761719
TAG(58:1)_FA 18:0,31335.20211791992,26003.40184020996,24148.22176361084,37195.80239868164,35012.16248321533,29392.24217224121
TAG(58:1)_FA 18:1,101196.70825195312,116147.22952270508,110449.12971496582,73987.30450439453,90045.74653625488,110907.80738830566
TAG(58:1)_FA 18:2,25990.901985168457,27299.88186645508,25219.28186798096,29564.66203308105,32210.082275390625,26026.54224395752
TAG(58:1)_FA 20:0,21641.22141265869,26390.16202545166,22993.3016204834,25941.42185974121,26793.20178222656,23094.661457061768
TAG(58:1)_FA 20:4,22160.52149963379,19070.00134277344,17870.781288146973,23341.741592407227,19992.961624145508,21957.141647338867
TAG(58:10)_FA 16:0,24515.721794128414,28712.78204345703,20837.381492614742,28205.50201416016,27197.00180053711,23503.121673583984
TAG(58:10)_FA 16:1,24382.701736450195,25808.482025146484,22529.241569519043,28328.242156982426,25014.961700439453,24650.00178527832
TAG(58:10)_FA 18:0,33053.542083740234,31428.40234375,25607.40171051025,50109.78398132324,53092.48426818848,30626.382438659668
TAG(58:10)_FA 18:1,26641.48161315918,24074.741897583008,23539.66160583496,27054.982063293457,31036.38237762451,25253.16184234619
TAG(58:10)_FA 18:2,60697.92468261719,41070.22302246094,46840.32292175293,45507.86354064941,49563.96357727051,39301.92277526856
TAG(58:10)_FA 20:0,21023.48162078857,23134.621658325195,19756.081466674805,24169.38180541992,20707.121459960938,22154.041580200195
TAG(58:10)_FA 20:4,36902.70262145996,32519.781951904297,31983.942489624023,34504.14311218262,31216.982192993164,32930.422439575195
TAG(58:2)_FA 16:0,22490.92172241211,25079.241821289062,20693.401473999023,26395.18186950684,26051.681838989258,20479.1615524292
TAG(58:2)_FA 16:1,25393.08184814453,22202.961486816406,20821.42148590088,26200.98161315918,26929.861892700195,21838.34129333496
TAG(58:2)_FA 18:0,33161.18249511719,31096.84259033203,26400.78223419189,42098.56324768066,39457.78288269043,35265.78259277344
TAG(58:2)_FA 18:1,29157.502075195312,25967.781784057617,31449.862228393555,30094.681983947758,34238.24182891846,31080.4416885376
TAG(58:2)_FA 18:2,100422.5867614746,113108.66952514648,114899.40854644775,74620.82508850098,87732.0464477539,98690.26661682127
TAG(58:2)_FA 20:0,27465.78186798096,28616.48200988769,22960.661712646484,29097.161903381348,28642.542320251465,26444.901641845703
TAG(58:2)_FA 20:4,48331.6635131836,48198.48309326172,39427.70315551758,48982.50354003906,53298.28356933594,38939.52255249024
TAG(58:3)_FA 16:0,30836.48203277588,28523.182388305664,23884.302032470703,29410.041931152344,39316.982414245605,31674.62222290039
TAG(58:3)_FA 16:1,20648.161529541016,26127.161895751957,20297.88144683838,25616.36164855957,25603.021865844727,21588.64140319824
TAG(58:3)_FA 18:0,32865.26239013672,28956.461837768555,22675.321716308597,35827.90249633789,30102.262008666992,26219.96192932129
TAG(58:3)_FA 18:1,31284.60171508789,32873.882736206055,31116.32225036621,40292.802642822266,43951.48246765137,41393.76212310791
TAG(58:3)_FA 18:2,28273.78196716309,29315.56182861328,31049.622428894043,32890.402282714844,39633.08242797852,33815.58275604248
TAG(58:3)_FA 20:0,22416.561408996586,25468.721603393555,19249.1614112854,22408.62171173096,24682.14191436768,21054.241416931152
TAG(58:3)_FA 20:4,33090.94223022461,38249.40246582031,29799.34200286865,36233.822914123535,34281.44239807129,38147.30307769776
TAG(58:4)_FA 16:0,21484.28160095215,19890.961456298828,17053.821113586426,23932.84172058105,22776.48162841797,18057.741271972656
