,Class,Transition,Lipid
1198,PE,764.5 -> 623.5,PE(38:6)
1199,PE,766.5 -> 625.5,PE(38:5)
1201,PE,770.6 -> 629.6,PE(38:3)
1202,PE,772.6 -> 631.6,PE(O-40:9)|PE(38:2)|PE(P-39:1)
1203,PE,774.6 -> 633.6,PE(39:8)|PE(O-40:8)|PE(P-40:7)|PE(38:1)|PE(O-39:1)|PE(P-39:0)
1204,PE,778.6 -> 637.6,PE(39:6)|PE(O-40:6)|PE(P-40:5)
1205,PE,780.6 -> 639.6,PE(39:5)|PE(O-40:5)|PE(P-40:4)
1206,PE,782.6 -> 641.6,PE(39:4)|PE(O-40:4)|PE(P-40:3)
1207,PE,784.6 -> 643.6,PE(40:10)|PE(39:3)|PE(O-40:3)|PE(P-40:2)
1208,PE,786.6 -> 645.6,PE(40:9)|PE(39:2)|PE(O-40:2)|PE(P-40:1)
1209,PE,790.7 -> 649.7,PE(40:7)|PE(39:0)|PE(O-40:0)
1211,PE,794.6 -> 653.6,PE(40:5)
1212,PE,796.6 -> 655.6,PE(40:4)
1213,PE,798.6 -> 657.6,PE(40:3)
1214,PE,800.6 -> 659.6,PE(40:2)
1215,PE,802.7 -> 661.7,PE(40:1)|PE(P-41:0)
1216,PE,804.7 -> 663.7,PE(41:7)|PE(P-42:6)|PE(40:0)|PE(O-41:0)
1217,PE,806.6 -> 665.6,PE(41:6)|PE(O-42:6)
1218,PE,808.6 -> 667.6,PE(41:5)|PE(P-42:4)
1219,PE,810.6 -> 669.6,PE(42:11)|PE(41:4)|PE(O-42:4)
1220,PE,814.7 -> 673.7,PE(42:9)|PE(41:2)|PE(O-42:2)|PE(P-42:1)
1221,PE,816.7 -> 675.7,PE(42:8)|PE(41:1)|PE(O-42:1)|PE(P-42:0)
